=== 数据记录开始于 2025-12-31 16:52:53 ===
(108.95, -101.54)
(112.65, -106.55)
(101.97, -193.23)
(93.50, -170.55)
(92.98, -176.17)
(88.28, -173.18)
(88.79, -164.31)
(92.70, -166.16)
(98.18, -189.05)
(23.01, 5.87)
(36.49, 69.17)
(-41.74, -127.85)
(-60.66, -116.49)
(-56.95, -111.16)
(-56.29, -119.96)
(57.23, -130.52)
(62.44, -108.35)
(52.51, -124.59)
(47.45, -127.71)
(50.49, -121.11)
(-143.57, -175.58)
(-172.58, -184.86)
(-172.59, -191.16)
(-165.19, -189.73)
(-41.57, -175.16)
(56.39, -97.50)
(45.13, -75.51)
(48.05, -112.18)
(47.17, -71.25)
(58.66, -73.58)
(67.11, -77.36)
(71.34, -101.90)
(70.71, -108.37)
(69.58, -114.09)
(63.92, -149.68)
(-76.86, -152.16)
(94.51, -104.33)
(102.43, -98.93)
(103.40, -88.00)
(100.24, -91.55)
(84.91, -90.28)
(74.32, -86.37)
(65.86, -89.19)
(58.44, -84.23)
(57.19, -91.47)
(-120.12, -198.00)
(-126.99, -231.35)
(-125.93, -227.39)
(54.58, -138.60)
(65.23, -114.52)
(64.25, -119.77)
(58.64, -118.12)
(345.89, -40.48)
(176.07, -100.73)
(171.44, -101.74)
(84.24, -108.32)
(71.17, -110.72)
(64.97, -116.72)
(59.53, -115.27)
(57.45, -108.92)
(51.82, -112.32)
(50.68, -111.01)
(53.38, -111.09)
(54.12, -110.31)
(51.58, -110.87)
(24.23, 1.71)
(-47.72, 82.72)
(-173.50, 104.26)
(-228.86, 106.32)
(-236.22, 105.22)
(339.79, 37.93)
(361.71, 25.24)
(366.65, 17.95)
(365.66, 21.12)
(367.25, 17.69)
(361.68, 21.35)
(179.67, -14.89)
(-54.06, -86.67)
(-75.80, -118.98)
(-77.87, -118.93)
(-77.78, -125.78)
(177.34, -118.53)
(186.85, -114.61)
(189.63, -111.09)
(462.83, -126.68)
(474.68, -128.72)
(478.71, -86.74)
(461.89, 56.87)
(455.61, 53.26)
(453.62, 58.12)
(453.62, 65.33)
(51.78, -71.25)
(30.37, -94.75)
(27.06, -102.38)
(24.34, -104.95)
(23.07, -109.53)
(395.74, -133.37)
(429.35, -172.03)
(434.56, -171.53)
(434.73, -177.07)
(401.79, -180.72)
(131.69, -91.91)
(119.26, -73.15)
(-793.67, 10773.13)
(-785.09, 10729.06)
(-35.09, -63.44)
(-18.72, -39.59)
(-6.11, -35.23)
(-137.51, -52.67)
(-184.33, -96.37)
(-184.65, -95.74)
(-185.92, -93.93)
(98.51, -94.22)
(116.10, -99.57)
(118.68, -96.66)
(149.17, -86.89)
(349.44, 2.65)
(355.81, 4.22)
(128.80, -31.87)
(46.84, -70.38)
(45.17, -95.81)
(-813.96, 10785.99)
(-55.11, 29.60)
(-15.81, 66.96)
(60.40, 7.54)
(126.97, -98.49)
(128.33, -111.31)
(338.21, -77.02)
(518.49, -7.33)
(517.17, 8.37)
(517.75, 9.81)
(108.43, -63.84)
(88.67, -83.27)
(81.33, -91.38)
(80.56, -98.52)
(60.30, -79.53)
(50.71, -86.44)
(-83.20, -490.12)
(-264.22, 511.44)
(-74.64, -55.00)
(-6.98, -81.90)
(-44.92, -64.45)
(-5.82, 34.02)
(-13.75, 27.79)
(-52.48, -71.75)
(-1444.67, 19839.63)
(-1274.17, 19363.13)
(314.90, 269.92)
(167.85, -72.74)
(138.81, -97.73)
(109.33, -103.06)
(97.81, -104.35)
(89.44, -111.82)
(97.60, -111.76)
(184.63, -115.02)
(510.06, -157.59)
(525.14, -169.25)
(520.58, -164.97)
(515.70, -158.96)
(514.11, -155.32)
(502.57, -159.97)
(495.57, -167.40)
(497.64, -170.29)
(499.12, -168.09)
(502.03, -178.36)
(517.66, -189.53)
(497.60, 13.78)
(486.22, 57.64)
(486.73, 55.45)
(492.86, 56.75)
(366.80, -48.68)
(-1446.65, 16215.52)
(161.27, -152.93)
(160.53, -155.75)
(158.74, -139.69)
(156.98, -124.02)
(110.46, -116.39)
(95.79, -116.67)
(93.14, -115.31)
(-1436.16, 16378.76)
(467.91, -187.15)
(484.75, -165.78)
(480.12, -167.29)
(478.05, -167.64)
(477.37, -210.04)
(-1365.49, 16218.37)
(323.49, -224.65)
(320.29, -173.24)
(316.80, -171.07)
(317.11, -167.90)
(317.65, -163.69)
(317.17, -163.97)
(313.14, -163.90)
(313.01, -164.22)
(312.75, -166.92)
(311.93, -166.57)
(314.67, -168.83)
(-1330.27, 16478.57)
(309.82, -257.75)
(-1298.12, 16325.60)
(325.81, -292.34)
(337.13, -185.59)
(455.10, -362.15)
(473.16, -301.37)
(473.83, -215.08)
(476.36, -207.11)
(476.32, -202.83)
(475.33, -199.05)
(482.04, -203.60)
(480.19, -201.41)
(468.67, -204.48)
(475.04, -195.95)
(494.36, -197.93)
(499.38, -202.16)
(493.83, -206.89)
(493.09, -194.40)
(476.91, -264.95)
(34.15, -198.79)
(52.59, -180.33)
(57.20, -164.89)
(455.93, -180.33)
(476.52, -209.06)
(475.07, -215.49)
(471.20, -208.09)
(-28.34, 2380.28)
(139.59, 1612.61)
(175.01, -188.84)
(174.11, -220.51)
(-1442.29, 16764.81)
(273.16, -287.23)
(451.15, -299.98)
(453.76, -259.58)
(-621.28, 2726.22)
(-641.16, 2764.65)
(-1385.90, 15839.26)
(234.81, -326.68)
(232.47, -205.52)
(231.97, -190.54)
(230.17, -192.18)
(494.61, -215.09)
(512.19, -226.29)
(517.80, -284.54)
(-1051.54, 11992.33)
(-849.67, 10319.83)
(257.45, -820.51)
(-644.63, 8815.15)
(-642.79, 8831.64)
(-646.70, 8954.29)
(387.87, -778.54)
(370.08, -252.44)
(458.32, -224.74)
(516.83, -226.56)
(521.46, -223.67)
(515.58, -211.00)
(514.42, -213.19)
(511.77, -208.70)
(-672.50, 9436.53)
(536.07, -296.97)
(286.55, -239.36)
(275.59, -230.80)
(-606.37, 8925.61)
(-578.89, 8813.51)
(208.42, -343.90)
(202.21, -337.88)
(199.67, -355.19)
(192.93, -298.99)
(-525.68, 8964.72)
(-532.65, 9027.44)
(-50.20, -505.66)
(-54.45, -367.87)
(-342.36, 170.52)
(-398.01, -109.28)
