model,mean,err_low,err_high
1,-1.0992544417262788,0.14178497673631996,0.14178497673631996
3,0.17164709997444652,0.11377243622172915,0.11377243622172915
4,0.2957565887606384,0.12206064951393665,0.12206064951393665
6,0.631850752991194,0.12462718667683308,0.12462718667683308
