===== 分材质汇总矩阵 =====
--- 材质: default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,1,0,0
all_1,0,-,1,0
all_4,0,1,-,2
fov,0,1,1,-

,===== 分FOV汇总矩阵 =====
--- FOV: scene_001 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,1,0,0
all_1,0,-,1,0
all_4,0,0,-,1
fov,0,0,1,-

--- FOV: scene_002 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,0,0,0
all_1,0,-,0,0
all_4,0,1,-,1
fov,0,1,0,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: scene_001_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,1,0,0
all_1,0,-,1,0
all_4,0,0,-,1
fov,0,0,1,-

--- FOV_材质: scene_002_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,0,0,0
all_1,0,-,0,0
all_4,0,1,-,1
fov,0,1,0,-

