=== 数据记录开始于 2026-01-05 15:47:20 ===
48.079,True,-81.16,49.68
48.172,True,-89.33,60.39
48.273,True,-95.94,58.28
48.371,True,-93.22,56.32
48.471,True,52.90,-116.50
48.579,True,55.38,-124.18
48.678,True,54.60,-127.14
48.772,True,68.63,-113.57
48.879,True,82.23,-101.96
48.975,True,83.63,-99.28
49.070,True,84.01,-97.70
49.173,True,84.92,-97.28
49.280,False,-2579.32,10155.57
49.381,False,-2673.68,10327.20
49.478,True,126.41,-152.96
49.577,True,119.62,-74.81
49.671,True,109.43,-54.61
49.770,True,111.99,-63.37
49.878,True,113.61,-75.41
49.973,True,117.32,-63.43
50.079,True,123.80,-58.01
50.175,True,124.13,-57.51
50.281,True,123.50,-53.87
50.373,True,126.31,-65.31
50.472,True,125.25,-74.77
50.581,True,122.36,-72.88
50.682,True,113.07,-62.72
50.774,True,51.90,-90.63
50.878,True,49.47,-91.04
50.978,True,52.80,-90.16
51.079,True,83.60,-95.36
51.181,True,87.89,-111.10
51.275,True,87.34,-118.23
51.371,True,85.12,-122.20
51.479,True,-2732.83,10429.92
51.578,True,66.33,-145.30
51.676,True,75.83,-126.88
51.777,True,77.21,-70.23
51.879,True,78.41,-74.77
51.979,True,90.52,-92.68
52.083,True,102.01,-134.14
52.171,True,105.50,-138.24
52.275,True,107.13,-149.33
52.373,True,108.80,-185.00
52.472,True,114.26,-191.54
52.579,True,106.91,-144.46
52.672,True,105.54,-129.95
52.773,True,107.34,-126.55
52.870,True,103.01,-121.80
52.980,True,102.09,-119.63
53.079,True,103.01,-121.14
53.178,True,106.83,-122.61
53.279,True,107.99,-124.46
53.378,True,100.52,-123.58
53.478,True,100.72,-123.35
53.577,True,99.98,-123.74
53.678,True,99.76,-123.68
53.774,True,98.24,-122.24
53.881,True,99.55,-120.72
53.973,True,102.52,-119.23
54.081,True,101.61,-121.12
54.186,True,103.23,-124.62
54.276,True,104.86,-131.79
54.371,True,101.92,-133.46
54.480,True,95.79,-125.90
54.573,True,92.36,-119.73
54.673,True,91.66,-117.95
54.782,True,91.28,-117.71
54.872,True,92.20,-118.88
54.981,True,90.15,-120.29
55.077,True,91.50,-119.83
55.181,True,97.84,-79.03
55.278,True,118.63,54.09
55.374,True,125.17,61.02
55.482,True,127.36,63.56
55.578,True,206.30,76.66
55.670,True,203.03,72.27
55.771,True,213.70,76.51
55.880,True,221.50,73.50
55.978,True,223.65,72.18
56.075,True,209.31,88.14
56.173,True,244.49,84.83
56.275,True,277.87,60.79
56.372,True,-2794.52,10379.59
56.483,True,349.59,52.79
56.580,True,334.86,102.74
56.675,True,301.21,95.10
56.773,True,297.78,95.45
56.878,True,290.77,107.17
56.977,True,286.96,105.09
57.078,True,281.56,98.85
57.174,True,216.01,77.16
57.276,True,90.25,-1.76
57.372,True,91.81,-6.29
57.479,True,72.35,-26.89
57.577,True,48.54,-55.61
57.672,True,43.83,-57.12
57.780,True,42.82,-57.45
57.879,True,43.31,-54.88
57.971,True,44.97,-51.44
58.082,True,47.20,-51.91
58.179,True,45.49,-55.16
58.278,True,44.38,-82.16
58.372,True,-2728.66,10168.03
58.474,True,47.41,-131.77
58.581,True,47.28,-81.29
58.678,True,33.07,-48.92
58.774,True,32.97,-53.77
58.880,True,31.20,-62.71
58.978,True,29.01,-59.05
59.072,True,26.43,-59.02
59.179,True,25.43,-61.31
59.274,True,24.05,-61.54
59.380,True,19.10,-63.09
59.471,True,21.94,-65.52
59.571,True,27.98,-73.22
59.681,True,40.19,-77.51
59.780,True,39.83,-58.11
59.879,True,40.95,-54.99
59.977,True,38.22,-60.14
60.073,True,-2723.43,10118.94
60.179,True,136.02,-13.57
60.276,True,218.56,-8.87
60.373,True,212.22,51.95
60.474,True,-3365.06,11589.96
60.581,True,549.30,31.19
60.681,True,540.57,-8.40
60.782,True,407.94,100.52
60.882,True,367.42,54.41
60.976,True,-5450.07,18367.35
61.073,True,-5280.40,18024.99
61.180,True,-5371.49,18548.98
61.273,True,-13.58,-72.58
61.381,True,1.05,19.17
61.479,True,-31.39,110.73
61.576,True,-51.13,69.46
61.673,True,-4508.88,16131.67
61.772,True,-26.70,-2.94
61.878,True,-37.61,-7.50
61.976,True,-4071.06,14440.80
62.078,True,-3836.64,13514.39
62.172,True,-3707.35,13128.78
62.278,True,0.23,-13.62
62.371,True,26.75,91.00
62.479,True,-3436.45,12407.75
62.577,True,7.22,62.04
62.674,True,-46.65,74.48
62.780,True,-3269.30,12056.11
62.876,True,-3143.12,11733.22
62.975,True,-3136.00,11878.16
63.072,True,48.63,24.64
63.170,True,0.21,173.16
63.275,True,-10.13,204.44
63.372,True,-7.36,135.79
63.479,True,-17.30,137.26
63.576,True,-19.86,141.30
63.679,True,-16.67,139.85
63.779,True,1.68,158.56
63.871,True,4.22,180.36
63.977,True,4.87,176.91
64.082,True,-157.82,137.82
64.180,True,-205.97,98.39
64.276,True,-203.01,99.39
64.372,True,-204.31,112.76
64.482,True,-272.84,117.08
64.580,True,-379.21,117.70
64.679,True,-391.86,120.68
64.773,True,-375.89,129.60
64.880,True,-351.03,130.65
64.971,True,-344.04,130.67
65.079,True,-342.49,129.73
65.178,True,-341.62,129.92
65.273,True,88.34,102.25
65.378,True,151.24,87.95
65.475,True,155.48,85.79
65.572,True,154.83,87.49
65.682,True,154.32,88.69
65.776,True,154.31,88.50
65.876,True,156.90,87.72
65.979,True,156.50,86.13
66.076,True,155.23,83.98
66.175,True,152.57,96.34
66.283,True,144.25,37.02
66.376,True,125.71,-23.13
66.479,True,116.05,154.42
66.581,True,111.58,24.42
66.679,True,108.39,27.26
66.782,True,107.59,18.14
66.877,True,108.06,16.36
66.975,True,108.90,17.07
67.073,True,110.34,10.83
67.179,True,110.89,6.04
67.273,True,110.07,7.57
67.378,True,52.22,1.50
67.475,True,29.22,-15.75
67.571,True,25.43,-21.07
67.676,True,22.19,-22.74
67.770,True,21.31,-22.56
67.880,True,31.71,-17.27
67.978,True,150.97,-19.14
68.076,True,155.60,-21.78
68.174,True,307.83,-12.35
68.272,True,404.72,-3.98
68.370,True,413.92,8.14
68.481,True,-3492.62,13294.81
68.578,True,453.53,-21.56
68.680,True,343.98,-79.19
68.776,True,86.45,-13.54
68.871,True,-24.24,-39.40
68.971,True,-3153.18,12366.94
69.078,True,-80.32,-88.45
69.176,True,-95.47,-58.95
69.277,True,-39.39,19.80
69.379,True,6.89,68.06
69.476,True,18.61,87.37
69.571,True,28.15,107.66
69.679,True,42.98,121.78
69.777,True,53.08,118.06
