=== 数据记录开始于 2026-01-05 14:01:00 ===
42.972,False,567.83,21.24
43.072,False,568.34,17.45
43.179,True,100.50,93.76
43.278,True,12.01,124.20
43.378,True,14.73,126.42
43.478,True,16.52,128.19
43.579,True,17.52,78.91
43.680,True,20.30,23.07
43.779,True,21.81,18.43
43.875,True,21.27,17.85
43.975,True,19.75,62.27
44.073,True,22.36,82.86
44.173,True,25.63,85.91
44.272,True,27.72,87.81
44.381,True,28.06,92.67
44.479,True,7.52,126.64
44.579,True,3.36,132.94
44.676,True,0.89,136.63
44.777,True,3.79,117.88
44.878,True,5.98,102.94
44.978,True,7.99,100.70
45.078,True,9.65,97.92
45.178,True,11.51,97.27
45.276,True,11.54,98.02
45.376,True,12.80,97.57
45.472,True,12.99,97.72
45.572,True,11.82,98.12
45.671,True,11.77,98.10
45.783,True,14.97,104.45
45.875,True,17.04,106.93
45.977,True,15.94,101.98
46.074,True,14.65,100.73
46.174,True,13.92,99.77
46.278,True,13.11,98.32
46.382,True,13.05,97.53
46.473,True,12.52,96.97
46.575,True,10.67,95.98
46.672,True,9.62,92.38
46.772,True,9.55,89.66
46.879,True,9.88,89.51
46.976,True,12.45,89.37
47.081,True,15.74,88.54
47.172,True,16.54,85.50
47.280,True,17.61,89.85
47.372,True,19.62,92.21
47.473,True,20.48,95.63
47.573,True,19.46,99.02
47.676,True,19.08,99.36
47.772,True,19.15,99.96
47.882,True,19.52,101.57
47.979,True,18.33,101.28
48.072,True,18.49,101.14
48.173,True,18.99,99.52
48.273,True,20.41,98.16
48.373,True,20.80,99.65
48.473,True,19.83,98.59
48.577,True,19.89,97.62
48.678,True,19.25,95.73
48.773,True,17.21,93.04
48.876,True,16.74,92.16
48.972,True,17.37,92.30
49.077,True,19.43,92.53
49.180,True,19.19,92.18
49.284,True,18.54,92.90
49.379,True,18.57,93.14
49.472,True,19.62,93.29
49.574,True,21.09,93.87
49.677,True,-221.76,115.46
49.775,True,-214.53,131.75
49.882,True,-232.40,128.01
49.972,True,-240.50,123.70
50.078,True,-241.25,121.79
50.176,True,-241.52,120.06
50.286,True,-241.19,119.28
50.378,True,-239.82,118.72
50.479,True,-196.78,123.93
50.573,True,-15.12,160.48
