=== 数据记录开始于 2025-12-31 16:47:45 ===
(102.33, -83.24)
(102.49, -86.93)
(104.05, -87.05)
(104.99, -81.59)
(104.52, -82.25)
(106.68, -81.25)
(104.24, -87.86)
(99.34, -92.73)
(97.18, -86.89)
(96.96, -87.10)
(98.01, -87.93)
(98.61, -90.51)
(99.93, -96.64)
(98.10, -96.70)
(95.88, -99.61)
(95.18, -99.84)
(94.15, -104.72)
(94.15, -107.11)
(92.50, -106.39)
(90.58, -109.59)
(90.98, -113.03)
(89.03, -111.20)
(88.56, -109.64)
(96.56, -103.18)
(105.39, -93.83)
(109.27, -90.52)
(108.27, -92.85)
(108.40, -94.61)
(106.15, -94.36)
(104.84, -95.35)
(103.39, -87.69)
(102.34, -90.71)
(105.06, -99.78)
(107.39, -102.93)
(105.80, -104.14)
(102.88, -104.62)
(98.99, -112.15)
(99.29, -124.19)
(104.68, -120.48)
(110.67, -117.77)
(113.52, -114.58)
(119.31, -111.74)
(120.47, -114.62)
(119.41, -104.75)
(121.48, -106.21)
(123.00, -107.93)
(119.70, -112.80)
(118.76, -99.73)
(117.09, -94.85)
(114.30, -100.27)
(109.63, -105.75)
(107.95, -106.82)
(103.57, -104.34)
(102.01, -101.62)
(100.07, -101.69)
(99.24, -103.29)
(102.41, -106.74)
(103.93, -107.30)
(102.47, -96.40)
(100.01, -97.61)
(100.15, -109.15)
(94.54, -115.06)
(89.51, -68.77)
(88.33, -79.66)
(91.34, -91.04)
(91.68, -98.69)
(88.86, -95.73)
(89.33, -80.68)
(88.81, -86.86)
(97.76, -91.02)
(110.23, -85.75)
(112.56, -94.47)
(108.79, -89.51)
(100.03, -90.61)
(101.15, -89.19)
(106.26, -91.88)
(110.06, -98.55)
(110.19, -97.96)
(97.93, -67.22)
(99.88, -24.92)
(97.52, -32.17)
(105.32, -83.71)
(106.60, -87.18)
(99.04, -108.05)
(100.87, -111.77)
(102.84, -110.63)
(103.77, -112.99)
(113.30, -31.88)
(121.19, -6.36)
(122.68, 2.02)
(102.53, -61.21)
(-822.75, -1859.72)
(-955.09, -2367.84)
(-1126.61, -2943.68)
(-1356.42, -3782.04)
(-1604.99, -4740.36)
(-1908.74, -5685.37)
(-2013.40, -6118.27)
(-2083.13, -6220.75)
(-566.87, 2783.05)
(-592.78, 2777.10)
(-556.44, 2784.87)
(-459.90, 2797.79)
(118.94, -58.74)
(117.32, -47.98)
(112.56, -59.90)
(112.15, -51.16)
(110.53, -66.04)
(116.61, -61.46)
(118.83, -62.89)
(118.35, -61.61)
(117.81, -47.21)
(116.43, -49.09)
(120.77, -48.57)
(121.98, -50.58)
(126.29, -38.79)
(129.30, -45.17)
(140.03, -46.80)
(130.89, -64.46)
(128.78, -69.81)
(132.01, -66.69)
(133.06, -67.88)
(130.28, -69.07)
(129.88, -71.53)
(121.01, -71.14)
(116.03, -60.68)
(115.16, -59.52)
(115.42, -55.73)
(116.09, -48.46)
(117.83, -53.20)
(120.06, -58.76)
(124.48, -58.73)
(123.65, -46.46)
(122.30, -42.19)
(122.74, -50.40)
(121.64, -53.50)
(118.75, -59.37)
(118.67, -55.10)
(117.48, -52.74)
(119.53, -48.80)
(117.28, -56.07)
(113.77, -66.28)
(123.06, -75.68)
(126.07, -82.34)
(127.74, -75.92)
(128.27, -61.32)
(126.93, -61.27)
(131.52, -61.82)
(136.02, -62.84)
(136.16, -56.57)
(140.96, -47.69)
(150.40, -50.62)
(147.10, -54.27)
(146.33, -51.04)
(145.71, -53.54)
(138.03, -51.68)
(134.09, -60.16)
(136.67, -57.87)
(135.06, -62.52)
(133.15, -65.99)
(133.53, -70.73)
(130.89, -71.70)
(139.64, -59.86)
(147.42, -61.76)
(144.66, -61.69)
(139.76, -60.71)
(139.04, -53.48)
(140.27, -51.48)
(137.09, -63.83)
(132.34, -65.99)
(130.88, -66.61)
(132.20, -69.37)
(133.83, -76.00)
(131.71, -81.98)
(132.49, -73.72)
(137.63, -67.30)
(146.46, -66.19)
(146.01, -67.20)
(146.21, -66.26)
(144.20, -57.26)
(144.48, -61.84)
(149.65, -62.16)
(146.96, -60.77)
(142.10, -44.73)
(144.01, -43.77)
(143.28, -54.39)
(143.70, -56.57)
(142.75, -45.21)
(143.46, -50.14)
(143.57, -50.32)
(141.09, -51.82)
(140.16, -57.15)
(138.14, -65.91)
(126.92, -70.52)
(121.70, -70.46)
(125.61, -70.48)
(127.54, -73.94)
(130.84, -70.53)
(126.53, -60.26)
(123.81, -48.73)
(126.40, -52.40)
(128.31, -58.58)
(126.31, -64.42)
(125.39, -62.82)
(123.28, -66.84)
(124.27, -79.83)
(121.81, -73.30)
(120.14, -81.49)
(121.20, -81.22)
(124.05, -85.12)
(131.29, -84.53)
(138.75, -92.49)
(144.60, -90.92)
(148.06, -80.14)
(148.80, -74.61)
(150.98, -68.70)
(150.80, -66.88)
(152.98, -65.08)
(156.54, -57.07)
(155.24, -55.22)
(152.80, -54.98)
(153.76, -59.82)
(154.47, -62.59)
(159.99, -53.08)
(158.61, -55.21)
(148.71, -57.05)
(144.97, -81.66)
(148.12, -47.36)
(152.70, -47.49)
(152.34, -50.02)
(152.13, -53.97)
(152.89, -56.85)
(145.96, -52.15)
(135.39, -67.10)
(130.97, -63.87)
(119.16, -57.90)
(110.09, -56.60)
(109.40, -55.32)
(111.87, -66.43)
(114.68, -67.66)
(123.73, -55.82)
(134.96, -45.96)
(137.82, -52.37)
(138.34, -60.65)
(137.09, -56.62)
(136.11, -45.93)
(135.79, -43.39)
(134.50, -39.83)
(135.02, -28.35)
(127.10, -36.78)
(124.44, -58.40)
(121.70, -58.84)
(118.39, -58.49)
(114.45, -58.47)
(114.03, -39.79)
(111.67, -39.01)
(111.62, -38.52)
(111.11, -42.26)
(111.34, -48.08)
(111.95, -54.83)
(112.54, -51.73)
(109.22, -32.96)
(107.87, -50.29)
(109.01, -61.80)
(105.31, -56.40)
(99.76, -44.40)
(100.24, -37.15)
(99.31, -44.28)
(98.54, -42.19)
(97.66, -39.94)
(94.57, -45.73)
(91.69, -59.49)
(88.16, -60.26)
(86.47, -56.80)
(98.57, -56.10)
(111.56, -48.73)
(115.86, -52.34)
(117.40, -64.71)
(119.27, -59.99)
(120.43, -68.67)
(119.86, -66.17)
(120.01, -56.26)
(125.36, -51.50)
(124.85, -49.89)
(123.74, -53.88)
(123.55, -56.79)
(122.60, -62.11)
(121.48, -53.18)
(122.65, -53.52)
(117.65, -44.03)
(123.98, -48.03)
(104.45, -62.65)
(86.83, -73.35)
(82.07, -82.53)
(75.72, -75.39)
(97.00, -74.73)
(112.83, -70.50)
(117.38, -68.61)
(121.77, -78.58)
(121.30, -76.78)
(123.32, -70.37)
(122.15, -68.83)
(118.80, -85.90)
(122.33, -86.69)
(123.98, -74.18)
(128.15, -61.69)
(130.62, -63.93)
(135.93, -70.61)
(136.29, -69.01)
(129.71, -70.69)
(130.84, -61.72)
(134.46, -56.28)
(132.87, -58.43)
(132.24, -60.67)
(136.08, -69.26)
(130.47, -63.13)
(124.29, -59.25)
(123.21, -63.72)
(122.74, -76.40)
(123.10, -74.09)
(132.25, -68.62)
(130.66, -69.52)
(127.84, -69.50)
(130.45, -57.26)
(133.48, -63.37)
(132.93, -65.23)
(130.74, -72.34)
(129.35, -66.53)
(128.03, -60.99)
(126.22, -62.99)
(128.78, -73.95)
(134.79, -68.71)
(130.70, -60.37)
(129.28, -66.38)
(126.44, -69.74)
(125.39, -80.90)
(130.70, -88.31)
(134.43, -84.24)
(133.69, -87.17)
(139.38, -75.58)
(147.45, -74.67)
(156.14, -78.97)
(159.81, -76.51)
(161.11, -73.17)
(165.01, -63.37)
(168.02, -54.89)
(169.70, -53.52)
(169.03, -47.18)
(159.31, -59.36)
(158.37, -67.59)
(159.76, -46.26)
(94.61, -83.69)
(82.88, -79.24)
(83.00, -75.55)
(82.60, -79.49)
(77.55, -93.32)
(71.81, -92.61)
(84.53, -85.69)
(187.20, -88.15)
(198.29, -107.18)
(160.63, -99.63)
(125.73, -55.89)
(119.97, -80.25)
(119.58, -69.13)
(124.71, -68.34)
(128.77, -72.95)
(116.90, -58.57)
(109.46, -27.70)
(122.75, -12.24)
(136.66, -19.11)
(134.85, -34.69)
(100.02, -60.36)
(105.49, -73.16)
(124.73, -58.92)
(126.41, -67.42)
(130.18, -66.91)
(142.24, -63.12)
(141.97, -68.48)
(143.80, -70.99)
(146.10, -40.28)
(177.86, -53.42)
(149.22, -116.96)
(131.59, -117.80)
(120.62, -119.13)
(118.56, -94.50)
(108.68, -102.71)
(91.94, -118.18)
(90.97, -119.89)
(91.27, -117.03)
(82.37, -95.82)
(88.50, -99.31)
(90.97, -97.94)
(93.37, -94.80)
(92.01, -98.83)
(101.59, -113.21)
(93.29, -113.69)
(90.15, -105.27)
(85.55, -100.01)
(87.35, -81.13)
(86.06, -76.78)
(82.99, -80.07)
(88.09, -65.70)
(92.40, -65.23)
(94.38, -68.16)
(102.83, -87.89)
(108.05, -111.88)
(108.52, -122.86)
(105.43, -120.81)
(107.61, -104.89)
(110.93, -100.12)
(122.02, -105.73)
(128.06, -108.17)
(127.11, -103.73)
(123.96, -87.84)
(125.29, -89.40)
(119.48, -85.32)
(127.05, -119.33)
(114.88, -67.57)
(111.77, -72.23)
(111.13, -71.03)
(111.95, -76.86)
(114.34, -80.88)
(114.38, -76.60)
(113.95, -79.45)
(115.66, -78.77)
(120.52, -74.28)
(121.04, -75.65)
(117.55, -76.05)
(116.81, -74.41)
(114.32, -64.66)
(114.53, -56.93)
(111.15, -67.13)
(112.66, -65.83)
(116.93, -55.31)
(120.81, -47.96)
(118.06, -50.76)
(117.93, -56.44)
(118.91, -63.51)
(119.50, -59.17)
(124.18, -56.29)
(131.16, -61.27)
(131.62, -73.67)
(131.92, -81.41)
(135.03, -83.39)
(136.27, -78.19)
(139.36, -80.63)
(138.85, -80.97)
(102.72, -74.03)
(96.43, -60.65)
(96.84, -68.06)
(101.02, -81.00)
(104.55, -76.20)
(106.38, -84.77)
(108.93, -88.92)
(104.86, -93.08)
(104.07, -107.15)
(109.94, -104.19)
(110.10, -87.02)
(112.17, -83.44)
