材质,行胜过列,1,3,4,6
粗糙度_0,1,-,2,0,1
粗糙度_0,3,4,-,1,0
粗糙度_0,4,6,5,-,4
粗糙度_0,6,5,6,2,-

粗糙度_0.1,1,-,1,0,1
粗糙度_0.1,3,5,-,0,0
粗糙度_0.1,4,6,6,-,3
粗糙度_0.1,6,5,6,3,-

粗糙度_0.4,1,-,1,1,1
粗糙度_0.4,3,5,-,3,2
粗糙度_0.4,4,5,3,-,5
粗糙度_0.4,6,5,4,1,-

粗糙度_1,1,-,0,3,2
粗糙度_1,3,6,-,4,2
粗糙度_1,4,3,2,-,4
粗糙度_1,6,4,4,2,-

metal,1,-,0,0,1
metal,3,6,-,3,2
metal,4,6,3,-,3
metal,6,5,4,3,-

