材质,图片ID,展示次数,胜出次数,胜率%,真实感票数
粗糙度_0,1,18,3,16.67,2
粗糙度_0,3,18,5,27.78,4
粗糙度_0,4,18,15,83.33,11
粗糙度_0,6,18,13,72.22,12
粗糙度_0.1,1,18,2,11.11,2
粗糙度_0.1,3,18,5,27.78,3
粗糙度_0.1,4,18,15,83.33,13
粗糙度_0.1,6,18,14,77.78,11
粗糙度_0.4,1,18,3,16.67,2
粗糙度_0.4,3,18,10,55.56,3
粗糙度_0.4,4,18,13,72.22,7
粗糙度_0.4,6,18,10,55.56,7
粗糙度_1,1,18,5,27.78,3
粗糙度_1,3,18,12,66.67,4
粗糙度_1,4,18,9,50.0,5
粗糙度_1,6,18,10,55.56,6
metal,1,18,1,5.56,0
metal,3,18,11,61.11,9
metal,4,18,12,66.67,9
metal,6,18,12,66.67,9
