[1. FOV与材质交叉维度]
FOV,材质,图片ID,展示次数,胜出次数,胜率%
0,0,1,6,2,33.33%
0,0,3,6,6,100.00%
0,0,6,6,4,66.67%
0,0,gt,6,0,0.00%
0,metal,1,6,1,16.67%
0,metal,3,6,5,83.33%
0,metal,6,6,5,83.33%
0,metal,gt,6,1,16.67%
15,0,1,6,5,83.33%
15,0,3,6,3,50.00%
15,0,6,6,4,66.67%
15,0,gt,6,0,0.00%
15,metal,1,6,2,33.33%
15,metal,3,6,5,83.33%
15,metal,6,6,5,83.33%
15,metal,gt,6,0,0.00%
30,0,1,6,5,83.33%
30,0,3,6,4,66.67%
30,0,6,6,2,33.33%
30,0,gt,6,1,16.67%
30,metal,1,6,4,66.67%
30,metal,3,6,6,100.00%
30,metal,6,6,2,33.33%
30,metal,gt,6,0,0.00%
45,0,1,6,5,83.33%
45,0,3,6,5,83.33%
45,0,6,6,2,33.33%
45,0,gt,6,0,0.00%
45,metal,1,6,5,83.33%
45,metal,3,6,4,66.67%
45,metal,6,6,2,33.33%
45,metal,gt,6,1,16.67%
,[2. 仅按材质汇总]
0,1,24,17,70.83%
0,3,24,18,75.00%
0,6,24,12,50.00%
0,gt,24,1,4.17%
metal,1,24,12,50.00%
metal,3,24,20,83.33%
metal,6,24,14,58.33%
metal,gt,24,2,8.33%
,[3. 仅按FOV汇总]
0,1,12,3,25.00%
0,3,12,11,91.67%
0,6,12,9,75.00%
0,gt,12,1,8.33%
15,1,12,7,58.33%
15,3,12,8,66.67%
15,6,12,9,75.00%
15,gt,12,0,0.00%
30,1,12,9,75.00%
30,3,12,10,83.33%
30,6,12,4,33.33%
30,gt,12,1,8.33%
45,1,12,10,83.33%
45,3,12,9,75.00%
45,6,12,4,33.33%
45,gt,12,1,8.33%
