[1. FOV与材质交叉维度]
FOV,材质,图片ID,展示次数,胜出次数,胜率%
0,0,1,72,22,30.56%
0,0,3,72,33,45.83%
0,0,6,72,52,72.22%
0,0,gt,72,37,51.39%
0,metal,1,72,13,18.06%
0,metal,3,72,37,51.39%
0,metal,6,72,45,62.50%
0,metal,gt,72,49,68.06%
15,0,1,72,43,59.72%
15,0,3,72,41,56.94%
15,0,6,72,32,44.44%
15,0,gt,72,28,38.89%
15,metal,1,72,23,31.94%
15,metal,3,72,32,44.44%
15,metal,6,72,37,51.39%
15,metal,gt,72,52,72.22%
30,0,1,72,37,51.39%
30,0,3,72,31,43.06%
30,0,6,72,38,52.78%
30,0,gt,72,38,52.78%
30,metal,1,72,20,27.78%
30,metal,3,72,33,45.83%
30,metal,6,72,34,47.22%
30,metal,gt,72,57,79.17%
45,0,1,72,36,50.00%
45,0,3,72,31,43.06%
45,0,6,72,33,45.83%
45,0,gt,72,44,61.11%
45,metal,1,72,18,25.00%
45,metal,3,72,40,55.56%
45,metal,6,72,37,51.39%
45,metal,gt,72,49,68.06%
,[2. 仅按材质汇总]
0,1,288,138,47.92%
0,3,288,136,47.22%
0,6,288,155,53.82%
0,gt,288,147,51.04%
metal,1,288,74,25.69%
metal,3,288,142,49.31%
metal,6,288,153,53.12%
metal,gt,288,207,71.88%
,[3. 仅按FOV汇总]
0,1,144,35,24.31%
0,3,144,70,48.61%
0,6,144,97,67.36%
0,gt,144,86,59.72%
15,1,144,66,45.83%
15,3,144,73,50.69%
15,6,144,69,47.92%
15,gt,144,80,55.56%
30,1,144,57,39.58%
30,3,144,64,44.44%
30,6,144,72,50.00%
30,gt,144,95,65.97%
45,1,144,54,37.50%
45,3,144,71,49.31%
45,6,144,70,48.61%
45,gt,144,93,64.58%
