材质,行胜过列,1,3,4,6
粗糙度_0,1,-,2,0,0
粗糙度_0,3,4,-,2,1
粗糙度_0,4,6,4,-,3
粗糙度_0,6,6,5,3,-

粗糙度_0.1,1,-,1,0,1
粗糙度_0.1,3,5,-,2,2
粗糙度_0.1,4,6,4,-,4
粗糙度_0.1,6,5,4,2,-

粗糙度_0.4,1,-,1,1,2
粗糙度_0.4,3,5,-,2,3
粗糙度_0.4,4,5,4,-,5
粗糙度_0.4,6,4,3,1,-

粗糙度_1,1,-,1,0,1
粗糙度_1,3,5,-,3,3
粗糙度_1,4,6,3,-,5
粗糙度_1,6,5,3,1,-

metal,1,-,0,1,0
metal,3,6,-,3,4
metal,4,5,3,-,2
metal,6,6,2,4,-

