材质,行胜过列,strategy_1,strategy_4,strategy_2,strategy_3
scene_001,strategy_1,-,110,105,104
scene_001,strategy_4,19,-,45,47
scene_001,strategy_2,23,85,-,61
scene_001,strategy_3,24,82,70,-
