材质,行胜过列,1,3,4,6
粗糙度_0,1,-,2,0,0
粗糙度_0,3,4,-,2,0
粗糙度_0,4,6,4,-,2
粗糙度_0,6,6,6,4,-

粗糙度_0.1,1,-,0,1,0
粗糙度_0.1,3,6,-,0,2
粗糙度_0.1,4,5,6,-,3
粗糙度_0.1,6,6,4,3,-

粗糙度_0.4,1,-,0,1,2
粗糙度_0.4,3,6,-,4,2
粗糙度_0.4,4,5,2,-,3
粗糙度_0.4,6,4,4,3,-

粗糙度_1,1,-,4,3,2
粗糙度_1,3,2,-,1,0
粗糙度_1,4,3,5,-,3
粗糙度_1,6,4,6,3,-

metal,1,-,1,0,1
metal,3,5,-,1,0
metal,4,6,5,-,1
metal,6,5,6,5,-

