材质,行胜过列,1,3,4,6
粗糙度_0,1,-,1,2,0
粗糙度_0,3,5,-,1,0
粗糙度_0,4,4,5,-,0
粗糙度_0,6,6,6,6,-

粗糙度_0.1,1,-,2,1,0
粗糙度_0.1,3,4,-,3,0
粗糙度_0.1,4,5,3,-,0
粗糙度_0.1,6,6,6,6,-

粗糙度_0.4,1,-,0,0,3
粗糙度_0.4,3,6,-,1,1
粗糙度_0.4,4,6,5,-,2
粗糙度_0.4,6,3,5,4,-

粗糙度_1,1,-,0,0,0
粗糙度_1,3,6,-,1,2
粗糙度_1,4,6,5,-,1
粗糙度_1,6,6,4,5,-

metal,1,-,0,2,1
metal,3,6,-,2,2
metal,4,4,4,-,2
metal,6,5,4,4,-

