材质,图片ID,展示次数,胜出次数,胜率%,真实感票数
粗糙度_0,1,18,3,16.67,2
粗糙度_0,3,18,6,33.33,6
粗糙度_0,4,18,9,50.0,7
粗糙度_0,6,18,18,100.0,15
粗糙度_0.1,1,18,3,16.67,1
粗糙度_0.1,3,18,7,38.89,7
粗糙度_0.1,4,18,8,44.44,6
粗糙度_0.1,6,18,18,100.0,15
粗糙度_0.4,1,18,3,16.67,2
粗糙度_0.4,3,18,8,44.44,8
粗糙度_0.4,4,18,13,72.22,12
粗糙度_0.4,6,18,12,66.67,11
粗糙度_1,1,18,0,0.0,0
粗糙度_1,3,18,9,50.0,7
粗糙度_1,4,18,12,66.67,10
粗糙度_1,6,18,15,83.33,9
metal,1,18,3,16.67,1
metal,3,18,10,55.56,9
metal,4,18,10,55.56,9
metal,6,18,13,72.22,12
