[1. FOV与材质交叉维度]
FOV,材质,图片ID,展示次数,胜出次数,胜率%
0,0,1,6,2,33.33%
0,0,3,6,2,33.33%
0,0,6,6,4,66.67%
0,0,gt,6,4,66.67%
0,metal,1,6,0,0.00%
0,metal,3,6,2,33.33%
0,metal,6,6,4,66.67%
0,metal,gt,6,6,100.00%
15,0,1,6,2,33.33%
15,0,3,6,4,66.67%
15,0,6,6,1,16.67%
15,0,gt,6,5,83.33%
15,metal,1,6,0,0.00%
15,metal,3,6,2,33.33%
15,metal,6,6,4,66.67%
15,metal,gt,6,6,100.00%
30,0,1,6,0,0.00%
30,0,3,6,3,50.00%
30,0,6,6,6,100.00%
30,0,gt,6,3,50.00%
30,metal,1,6,2,33.33%
30,metal,3,6,3,50.00%
30,metal,6,6,2,33.33%
30,metal,gt,6,5,83.33%
45,0,1,6,2,33.33%
45,0,3,6,2,33.33%
45,0,6,6,3,50.00%
45,0,gt,6,5,83.33%
45,metal,1,6,1,16.67%
45,metal,3,6,4,66.67%
45,metal,6,6,4,66.67%
45,metal,gt,6,3,50.00%
,[2. 仅按材质汇总]
0,1,24,6,25.00%
0,3,24,11,45.83%
0,6,24,14,58.33%
0,gt,24,17,70.83%
metal,1,24,3,12.50%
metal,3,24,11,45.83%
metal,6,24,14,58.33%
metal,gt,24,20,83.33%
,[3. 仅按FOV汇总]
0,1,12,2,16.67%
0,3,12,4,33.33%
0,6,12,8,66.67%
0,gt,12,10,83.33%
15,1,12,2,16.67%
15,3,12,6,50.00%
15,6,12,5,41.67%
15,gt,12,11,91.67%
30,1,12,2,16.67%
30,3,12,6,50.00%
30,6,12,8,66.67%
30,gt,12,8,66.67%
45,1,12,3,25.00%
45,3,12,6,50.00%
45,6,12,7,58.33%
45,gt,12,8,66.67%
