材质,行胜过列,1,3,4,6
粗糙度_0,1,-,1,0,1
粗糙度_0,3,5,-,0,0
粗糙度_0,4,6,6,-,1
粗糙度_0,6,5,6,5,-

粗糙度_0.1,1,-,1,0,0
粗糙度_0.1,3,5,-,0,0
粗糙度_0.1,4,6,6,-,2
粗糙度_0.1,6,6,6,4,-

粗糙度_0.4,1,-,3,0,1
粗糙度_0.4,3,3,-,1,4
粗糙度_0.4,4,6,5,-,3
粗糙度_0.4,6,5,2,3,-

粗糙度_1,1,-,2,2,3
粗糙度_1,3,4,-,1,1
粗糙度_1,4,4,5,-,4
粗糙度_1,6,3,5,2,-

metal,1,-,0,0,0
metal,3,6,-,0,0
metal,4,6,6,-,0
metal,6,6,6,6,-

